battery_level, cycles, battery_capacity
1.0, 15.13791, 9987.5589
1.0, 15.13791, 9987.5589
1.0, 15.13791, 9987.5589
0.79, 15.26391, 9987.5148
0.5372, 15.41559, 9987.4617
0.6992, 15.41559, 9987.4617
0.2098, 15.70925, 9987.3589
0.0587, 15.79988, 9987.3272
0.0329, 15.81538, 9987.3218
0.2553, 15.81538, 9987.3218
0.3, 15.81538, 9987.3218
0.204, 15.87298, 9987.3016
0.2358, 15.87298, 9987.3016
0.0637, 15.97626, 9987.2655
0.2322, 15.97626, 9987.2655
0.0604, 16.07936, 9987.2294
0.1544, 16.07936, 9987.2294
0.4419, 16.07936, 9987.2294
0.2828, 16.17481, 9987.196
0.1244, 16.26983, 9987.1627
0.3521, 16.26983, 9987.1627
0.2113, 16.35433, 9987.1331
0.0571, 16.44688, 9987.1007
0.1797, 16.44688, 9987.1007
0.557, 16.44688, 9987.1007
0.6678, 16.44688, 9987.1007
0.4808, 16.55907, 9987.0615
0.3414, 16.64273, 9987.0322
0.5587, 16.64273, 9987.0322
0.4525, 16.70642, 9987.0099
0.4208, 16.72543, 9987.0032
0.9015, 16.72543, 9987.0032
0.6581, 16.87147, 9986.9521
0.7196, 16.87147, 9986.9521
0.5685, 16.96214, 9986.9204
0.3638, 17.08494, 9986.8774
0.3565, 17.08931, 9986.8759
0.2389, 17.1599, 9986.8512
0.0526, 17.27171, 9986.812
0.261, 17.27171, 9986.812
0.06, 17.39229, 9986.7698
0.0054, 17.42505, 9986.7584
0.0018, 17.42722, 9986.7576
0.8103, 17.42722, 9986.7576
0.7941, 17.43694, 9986.7542
0.8023, 17.43694, 9986.7542
0.8122, 17.43694, 9986.7542
0.985, 17.43694, 9986.7542
0.9916, 17.43694, 9986.7542
0.9947, 17.43694, 9986.7542
0.9969, 17.43694, 9986.7542
0.9869, 17.44292, 9986.7521
0.9995, 17.44292, 9986.7521
1.0, 17.44292, 9986.7521
1.0, 17.44292, 9986.7521
1.0, 17.44292, 9986.7521
1.0, 17.44292, 9986.7521
0.9, 17.50292, 9986.7311
0.369, 17.82152, 9986.6196
0.5141, 17.82152, 9986.6196
0.6404, 17.82152, 9986.6196
0.9353, 17.82152, 9986.6196
0.9799, 17.82152, 9986.6196
0.9841, 17.82152, 9986.6196
0.1279, 18.33522, 9986.4398
0.0537, 18.37973, 9986.4242
0.0397, 18.38811, 9986.4213
