data,ora,consumo
20231010,09,175
20231010,10,197
20231010,11,170
20231010,12,221
20231010,13,1114
20231010,14,639
20231010,15,1043
20231010,16,553
20231010,17,220
20231010,18,286
20231010,19,346
20231010,20,877
20231010,21,775
20231010,22,768
20231010,23,332
20231011,00,506
20231011,01,746
20231011,02,177
20231011,03,169
20231011,04,195
20231011,05,175
20231011,06,224
20231011,07,546
20231011,08,245
20231011,09,187
20231011,10,335
20231011,11,272
20231011,12,251
20231011,13,708
20231011,14,339
20231011,15,266
20231011,16,1069
20231011,17,314
20231011,18,1551
20231011,19,1200
20231011,20,865
20231011,21,367
20231011,22,490
20231011,23,263
20231012,00,217
20231012,01,549
20231012,02,649
20231012,03,171
20231012,04,193
20231012,05,177
20231012,06,186
20231012,07,399
20231012,08,227
20231012,09,199
20231012,10,179
20231012,11,205
20231012,12,343
20231012,13,697
20231012,14,352
20231012,15,580
20231012,16,264
20231012,17,876
20231012,18,304
20231012,19,392
20231012,20,548
20231012,21,365
20231012,22,346
20231012,23,419
20231013,00,303
20231013,01,192
20231013,02,177
20231013,03,195
20231013,04,888
20231013,05,259
20231013,06,266
20231013,07,260
20231013,08,193
20231013,09,178
20231013,10,238
20231013,11,298
20231013,12,265
20231013,13,297
20231013,14,1747
20231013,15,615
20231013,16,936
20231013,17,209
20231013,18,394
20231013,19,586
20231013,20,1368
20231013,21,968
20231013,22,775
20231013,23,750
20231014,00,716
20231014,01,1098
20231014,02,769
20231014,03,340
20231014,04,272
20231014,05,193
20231014,06,189
20231014,07,185
20231014,08,200
20231014,09,192
20231014,10,173
20231014,11,209
20231014,12,200
20231014,13,811
20231014,14,945
20231014,15,488
20231014,16,522
20231014,17,778
20231014,18,1740
20231014,19,522
20231014,20,307
20231014,21,458
20231014,22,564
20231014,23,632
20231015,00,947
20231015,01,287
20231015,02,265
20231015,03,278
20231015,04,175
20231015,05,203
20231015,06,189
20231015,07,400
20231015,08,1072
20231015,09,847
20231015,10,913
20231015,11,1128
20231015,12,2942
20231015,13,1606
20231015,14,665
20231015,15,608
20231015,16,628
20231015,17,528
20231015,18,261
20231015,19,309
20231015,20,500
20231015,21,897
20231015,22,1464
20231015,23,550
20231016,00,497
20231016,01,212
20231016,02,226
20231016,03,204
20231016,04,203
20231016,05,189
20231016,06,179
20231016,07,611
20231016,08,205
20231016,09,169
20231016,10,171
20231016,11,193
20231016,12,215
20231016,13,469
20231016,14,326
20231016,15,225
20231016,16,208
20231016,17,295
20231016,18,703
20231016,19,463
20231016,20,942
20231016,21,434
20231016,22,286
20231016,23,203
20231017,00,185
20231017,01,819
20231017,02,482
20231017,03,177
20231017,04,207
20231017,05,178
20231017,06,184
20231017,07,250
20231017,08,237
20231017,09,182
20231017,10,890
20231017,11,1609
20231017,12,1625
20231017,13,1186
20231017,14,618
